newid,daytime,latitude,longitude
2018090500015 ,2018/9/5 0:00,34.341641,132.50782
2018090500015 ,2018/9/5 0:00,34.342378,132.508695
2018090500015 ,2018/9/5 0:00,34.342378,132.508695
2018090500001 ,2018/9/5 0:00,43.062114,141.353037
2018090500007 ,2018/9/5 0:00,42.819444,141.647343
2018090500072 ,2018/9/5 0:01,43.05261,141.352466
2018090500019 ,2018/9/5 0:03,42.49964,141.14159
2018090500088 ,2018/9/5 0:03,42.851502,141.624383
2018090500002 ,2018/9/5 0:03,35.905198,139.625493
2018090500002 ,2018/9/5 0:03,35.905209,139.625578
2018090500043 ,2018/9/5 0:04,43.056319,141.353116
2018090500061 ,2018/9/5 0:05,35.562614,139.718602
2018090500072 ,2018/9/5 0:06,43.052412,141.352784
2018090500049 ,2018/9/5 0:07,43.055802,141.34073
2018090500043 ,2018/9/5 0:07,43.056315,141.353116
2018090500088 ,2018/9/5 0:08,42.851502,141.624383
2018090500002 ,2018/9/5 0:08,35.905209,139.625578
2018090500002 ,2018/9/5 0:08,35.905209,139.625574
2018090500003 ,2018/9/5 0:08,42.592937,140.760032
2018090500032 ,2018/9/5 0:08,43.020176,141.432206
2018090500019 ,2018/9/5 0:08,42.496932,141.141754
2018090500043 ,2018/9/5 0:09,43.056315,141.353116
2018090500062 ,2018/9/5 0:09,34.697917,135.478798
2018090500052 ,2018/9/5 0:09,43.103372,141.324324
2018090500072 ,2018/9/5 0:11,43.052412,141.352784
2018090500088 ,2018/9/5 0:13,42.851502,141.624383
2018090500007 ,2018/9/5 0:13,42.819444,141.647343
2018090500019 ,2018/9/5 0:13,42.497127,141.141439
2018090500001 ,2018/9/5 0:13,43.061306,141.353033
2018090500080 ,2018/9/5 0:14,43.055327,141.351717
2018090500067 ,2018/9/5 0:15,43.050336,141.355267
2018090500072 ,2018/9/5 0:16,43.05261,141.352466
2018090500043 ,2018/9/5 0:16,43.056324,141.353122
2018090500062 ,2018/9/5 0:17,34.697917,135.478798
2018090500002 ,2018/9/5 0:17,35.905199,139.625521
2018090500088 ,2018/9/5 0:18,42.851502,141.624383
2018090500049 ,2018/9/5 0:18,43.055707,141.340078
2018090500019 ,2018/9/5 0:18,42.496932,141.141754
2018090500082 ,2018/9/5 0:19,42.647187,141.612589
2018090500032 ,2018/9/5 0:19,43.02015,141.432091
2018090500052 ,2018/9/5 0:19,43.103372,141.324324
2018090500010 ,2018/9/5 0:20,31.868273,131.425921
2018090500043 ,2018/9/5 0:20,43.056322,141.353115
2018090500072 ,2018/9/5 0:22,43.05261,141.352466
2018090500007 ,2018/9/5 0:22,42.819444,141.647343
2018090500049 ,2018/9/5 0:23,43.055795,141.340601
2018090500019 ,2018/9/5 0:23,42.496932,141.141754
2018090500001 ,2018/9/5 0:23,43.061306,141.353033
2018090500040 ,2018/9/5 0:23,35.664526,139.756881
2018090500002 ,2018/9/5 0:23,35.905206,139.625595
2018090500088 ,2018/9/5 0:24,42.851502,141.624383
2018090500043 ,2018/9/5 0:25,43.056156,141.353261
2018090500007 ,2018/9/5 0:25,42.817396,141.645367
2018090500010 ,2018/9/5 0:25,31.873111,131.411915
2018090500023 ,2018/9/5 0:25,43.021835,141.472396
2018090500089 ,2018/9/5 0:26,41.773549,140.725185
2018090500089 ,2018/9/5 0:27,41.773549,140.725185
2018090500080 ,2018/9/5 0:28,43.055225,141.351781
2018090500026 ,2018/9/5 0:28,43.056504,141.344638
2018090500019 ,2018/9/5 0:28,42.496932,141.141754
